id;obl_sys_date;obl_created_by;obl_customs_office;obl_type;obl_amount;obl_lapsed;obl_vpo_number;obl_transaction_number;obl_mra_date;obl_state;obl_identifier;obl_amount_difference;obl_guaranty_difference;obl_customs_office_name
1;2021-03-04T17:16:52;monitor USB whiteboard;Automotive connecting;Home Handmade Wooden Soap Developer;14263;true;Rustic National;virtual;2021-03-05T02:27:16;Associate;Missouri Tunisia copying;2462;67207;Factors
2;2021-03-04T20:33:46;Optimization;Gloves;gold input forecast;45617;true;Mountain;Pula Configuration JSON;2021-03-05T00:57:13;throughput Mississippi Licensed Frozen Keyboard;Re-contextualized port Research;63920;50055;program turn-key
3;2021-03-05T00:59:19;Consultant Frozen;users Intranet Steel;initiatives Awesome Frozen Towels;93896;false;California;Slovakia (Slovak Republic) Money Market Account;2021-03-04T18:46:49;Awesome Concrete multi-byte;Identity;3881;56085;program Licensed
4;2021-03-04T18:00:08;didactic Sleek Metal Tuna;Global portals online;Chair Optimization port;78330;false;Pitcairn Islands;Viaduct;2021-03-04T18:35:43;Jewelery lavender Research;Tasty;93570;70498;Music
5;2021-03-05T01:34:11;Bedfordshire;Berkshire Dynamic SCSI;Cambridgeshire;13831;true;Mobility budgetary management Awesome Cotton Fish;Bahamian Dollar Guernsey Credit Card Account;2021-03-04T18:45:00;Central website Organized;Qatar Illinois;67746;12078;Kids bottom-line SAS
6;2021-03-05T03:46:46;Haiti;ivory backing up;Gorgeous;38597;false;mobile Practical Soft Ball calculate;back-end Avon;2021-03-04T23:23:58;driver vortals solid state;Metal Texas;87799;73135;Mouse
7;2021-03-04T22:06:49;cutting-edge XSS;connecting;infomediaries local bus;85749;false;Handmade Applications;Architect deposit;2021-03-05T05:44:21;bypass Hollow blue;responsive Singapore withdrawal;47386;6364;disintermediate ability architectures
8;2021-03-04T19:15:54;Buckinghamshire Ireland withdrawal;United States of America Manor;paradigm;37314;true;New Jersey;transmitting ADP Hills;2021-03-05T07:21:24;Garden;Incredible Rubber Fish Applications application;52634;19190;Director
9;2021-03-04T14:00:36;regional;New Zealand Dollar Checking Account;quantifying Niger;83238;false;HTTP Cheese Bedfordshire;system engine haptic;2021-03-05T09:30:30;Ohio;Ohio Group best-of-breed;12061;47149;initiatives Vista
10;2021-03-05T09:33:26;bypassing;Kentucky;Macao mobile;34938;true;Regional Rubber payment;AGP Gourde US Dollar;2021-03-05T03:12:16;alarm;online;25734;134;cutting-edge Product Refined Concrete Soap
